T,M,Time
1,1,0.413333
1,10,16.002286
1,20,30.179194
1,30,44.111948
1,40,50.28435
1,50,60.627929
1,100,60.628439
10,1,0.21062
10,10,2.059422
10,20,3.494015
10,30,4.936295
10,40,5.359644
10,50,6.585606
10,100,6.57916
20,1,0.210263
20,10,1.466149
20,20,2.062454
20,30,2.715693
20,40,3.08873
20,50,3.709404
20,100,3.713392
